artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname
Thelonious Monk,It Don't Mean A Thing (If It Ain't Got That Swing),Plays Duke Ellington (Keepnews Collection),Album,1955-01-01,It Don't Mean A Thing (If It Ain't Got That Swing) (04:42)/Sophisticated Lady (04:31)/I Got It Bad (And That Ain't Good) (05:57)/Black And Tan Fantasy (03:28)/Mood Indigo (03:16)/I Let A Song Go Out Of My Heart (05:43)/Solitude (03:45)/Caravan (05:56,https://i.scdn.co/image/ab67616d00001e02076941a374c48bcdd6d13484,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk,Sophisticated Lady,Plays Duke Ellington (Keepnews Collection),Album,1955-01-01,It Don't Mean A Thing (If It Ain't Got That Swing) (04:42)/Sophisticated Lady (04:31)/I Got It Bad (And That Ain't Good) (05:57)/Black And Tan Fantasy (03:28)/Mood Indigo (03:16)/I Let A Song Go Out Of My Heart (05:43)/Solitude (03:45)/Caravan (05:56,https://i.scdn.co/image/ab67616d00001e02076941a374c48bcdd6d13484,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk,I Got It Bad (And That Ain't Good),Plays Duke Ellington (Keepnews Collection),Album,1955-01-01,It Don't Mean A Thing (If It Ain't Got That Swing) (04:42)/Sophisticated Lady (04:31)/I Got It Bad (And That Ain't Good) (05:57)/Black And Tan Fantasy (03:28)/Mood Indigo (03:16)/I Let A Song Go Out Of My Heart (05:43)/Solitude (03:45)/Caravan (05:56,https://i.scdn.co/image/ab67616d00001e02076941a374c48bcdd6d13484,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk,Black And Tan Fantasy,Plays Duke Ellington (Keepnews Collection),Album,1955-01-01,It Don't Mean A Thing (If It Ain't Got That Swing) (04:42)/Sophisticated Lady (04:31)/I Got It Bad (And That Ain't Good) (05:57)/Black And Tan Fantasy (03:28)/Mood Indigo (03:16)/I Let A Song Go Out Of My Heart (05:43)/Solitude (03:45)/Caravan (05:56,https://i.scdn.co/image/ab67616d00001e02076941a374c48bcdd6d13484,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk,Mood Indigo,Plays Duke Ellington (Keepnews Collection),Album,1955-01-01,It Don't Mean A Thing (If It Ain't Got That Swing) (04:42)/Sophisticated Lady (04:31)/I Got It Bad (And That Ain't Good) (05:57)/Black And Tan Fantasy (03:28)/Mood Indigo (03:16)/I Let A Song Go Out Of My Heart (05:43)/Solitude (03:45)/Caravan (05:56,https://i.scdn.co/image/ab67616d00001e02076941a374c48bcdd6d13484,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk,I Let A Song Go Out Of My Heart,Plays Duke Ellington (Keepnews Collection),Album,1955-01-01,It Don't Mean A Thing (If It Ain't Got That Swing) (04:42)/Sophisticated Lady (04:31)/I Got It Bad (And That Ain't Good) (05:57)/Black And Tan Fantasy (03:28)/Mood Indigo (03:16)/I Let A Song Go Out Of My Heart (05:43)/Solitude (03:45)/Caravan (05:56,https://i.scdn.co/image/ab67616d00001e02076941a374c48bcdd6d13484,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk,Solitude,Plays Duke Ellington (Keepnews Collection),Album,1955-01-01,It Don't Mean A Thing (If It Ain't Got That Swing) (04:42)/Sophisticated Lady (04:31)/I Got It Bad (And That Ain't Good) (05:57)/Black And Tan Fantasy (03:28)/Mood Indigo (03:16)/I Let A Song Go Out Of My Heart (05:43)/Solitude (03:45)/Caravan (05:56,https://i.scdn.co/image/ab67616d00001e02076941a374c48bcdd6d13484,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk,Caravan,Plays Duke Ellington (Keepnews Collection),Album,1955-01-01,It Don't Mean A Thing (If It Ain't Got That Swing) (04:42)/Sophisticated Lady (04:31)/I Got It Bad (And That Ain't Good) (05:57)/Black And Tan Fantasy (03:28)/Mood Indigo (03:16)/I Let A Song Go Out Of My Heart (05:43)/Solitude (03:45)/Caravan (05:56,https://i.scdn.co/image/ab67616d00001e02076941a374c48bcdd6d13484,Jazz/Bebop/Hard Bop/Cool Jazz,
John Coltrane,I'm Old Fashioned,Blue Train,Album,1957-11-01,Blue Train (10:43)/Moment's Notice (09:10)/Locomotion (07:14)/I'm Old Fashioned (07:59)/Lazy Bird (07:07,https://i.scdn.co/image/ab67616d00001e02611ea3fb281f7956ffd33b77,Jazz/Hard Bop/Free Jazz/Bebop/Cool Jazz/Jazz Blues,
Thelonious Monk Quartet,"Light Blue - Live At The Five Spot / August 7, 1958",Thelonious In Action,Album,1958,"Light Blue - Live At The Five Spot / August 7, 1958 (05:14)/Coming On The Hudson - Live At The Five Spot / August 7, 1958 (05:24)/Rhythm-A-Ning - Live At The Five Spot / August 7, 1958 (09:25)/Epistrophy - Theme / Live At The Five Spot / August 7, 1958 (01:05)/Blue Monk - Live At The Five Spot / August 7, 1958 (08:31)/Evidence - Live At The Five Spot / August 7, 1958 (08:48)/Epistrophy - Theme 2 / Live At The Five Spot / August 7, 1958 (01:05)/Unidentified Solo Piano - Live At The Five Spot / July 9, 1958 (01:54)/Blues Five Spot - Live At The Five Spot / July 9, 1958 (09:55)/In Walked Bud / Epistrophy - Live At The Five Spot / July 9, 1958 (10:57",https://i.scdn.co/image/ab67616d00001e02ad4693ff40a3c2cf884daa03,Jazz/Hard Bop/Bebop,
